architecture,MSE,MSPE,R
3,2.55354138652724,120.035201379595,0.982492721770886
4,2.11289975535891,119.379134569388,0.985720027893229
5,2.13699949329847,1.17971705872559,0.985434450430727
6,2.39591210188347,253.231927930183,0.983711943541138
7,2.53586529500622,175.900969839856,0.982900636585876
8,2.05426949156472,203.017291291209,0.985926868132945
9,1.92654806203855,6.12988837354023,0.98677034927583
10,1.73115711658664,1.67161008549743,0.988883872402314
